"","InflacionNacional","Salarios","Precios.EUA","Tipo.de.cambio","Industria.EUA","Actividades.Primarioas","Actividades.Secundarias","Actividades.Terciarias","Mineria","Manufactura","Construccion","Energia","Desempleo","Billetes.y.monedas","Ingreso.Mexico","TIIE28","TIIE91"
"01/05/2015",4.46553294288266,4.53100898164833,5.47145101010797,2.72494009377048,4.6048880461904,4.79395260224125,4.64364872860864,4.66926009745289,4.54686217135147,4.67503398544049,4.65210403016596,4.69934576328344,1.49203444623212,20.77955510669,4.66480834117097,1.19392246847243,1.19694818938897
"01/06/2015",4.4672073634658,4.52933395201913,5.4749477593467,2.73801021734503,4.60124539405861,4.71763180889797,4.64025918496908,4.68867625146211,4.52648620188981,4.68768867070257,4.62237114658842,4.72036094459575,1.48279456438352,20.7762287108601,4.67334278087349,1.19392246847243,1.19694818938897
"01/07/2015",4.46867233789634,4.52786896699804,5.47501480425844,2.76557040134142,4.60658518440547,4.61986307391032,4.66416701119161,4.68422580880747,4.53788529820905,4.67966799678771,4.72348101033951,4.75279002795775,1.5512495330676,20.7927352869851,4.67543432693616,1.19392246847243,1.1999647829284
"01/08/2015",4.47077985646858,4.52576111086038,5.47359752410841,2.80263284358816,4.60550612955273,4.42854445247113,4.66374994673578,4.66451536284025,4.55977097614899,4.69002296270894,4.67646256744097,4.77908195863554,1.54340168576197,20.7992945834457,4.65758928616842,1.1999647829284,1.20896034583698
"01/09/2015",4.4745194291455,4.52202224539864,5.47203955452853,2.82359072420581,4.60162139647684,4.31636902212036,4.65493860769802,4.66600907567106,4.51341112342678,4.68582943310058,4.68933317700863,4.76731960217423,1.50355070031827,20.7933112292723,4.65284021065449,1.20297230399235,1.21194097397511
"01/10/2015",4.47965138946352,4.52894551366589,5.47158976964002,2.80952317003284,4.59803640094324,4.53008286005474,4.68085247653775,4.70854376900197,4.54221384401137,4.73475751601304,4.66919232476074,4.76208973894569,1.51539745139562,20.8145755190562,4.69394477252642,1.19694818938897,1.1999647829284
"01/11/2015",4.48509604139489,4.52350124003894,5.4694768586358,2.81149688655476,4.59197501131878,4.86126713255304,4.64143205299333,4.70699819849696,4.50056239751562,4.67409653899607,4.68232509721909,4.70293077562993,1.37613251652427,20.8356265914595,4.69045384324583,1.1999647829284,1.21787570949493
"01/12/2015",4.48916227321841,4.51943472194796,5.46605391059051,2.83332510251689,4.58746089812726,4.98027369147003,4.63268123086902,4.71802975056088,4.52649725640671,4.63508785877935,4.71668109335168,4.64859003005325,1.37691923665381,20.9378343603726,4.69938552303439,1.22964055107451,1.25276296849537
"01/01/2016",4.49296833713036,4.55677059553481,5.46770564793009,2.88914878815121,4.59488214511731,4.77171026611202,4.63466364046345,4.65186132684387,4.58181265990797,4.66023913346836,4.63190355871269,4.61799255689981,1.44370646361149,20.9087027011273,4.6500580699659,1.26976054486394,1.27815220250019
"01/02/2016",4.4973375184126,4.55240106626376,5.46852838592181,2.91688926262312,4.58817732160842,4.62975202268694,4.62899844855021,4.66661422069995,4.51467057395628,4.66965447252999,4.64724959954557,4.6099718017583,1.42212263414201,20.8977806720978,4.65276494070217,1.32175583998232,1.3297240096315
"01/03/2016",4.49880917667002,4.55092939409975,5.47282514177436,2.87572614365373,4.58031596283944,4.3805385537805,4.63759105462683,4.68958848034308,4.55268025823612,4.67354429528119,4.63657463736899,4.64087729519663,1.31847674963713,20.9174673188243,4.66354521866934,1.40118297361364,1.41342302850814
"01/04/2016",4.49563740028178,4.55410107699543,5.47755500628765,2.86176650088583,4.58234649587362,4.62047140595851,4.64297941500462,4.69672308148637,4.49200892861625,4.68796456157939,4.67208720531738,4.67252975796729,1.33472672910521,20.9062553864169,4.67632334863157,1.40118297361364,1.41585316336144
"01/05/2016",4.49116815665988,4.55857007190731,5.48159263508101,2.89261923043664,4.58090269801944,4.73474278065218,4.65384230985771,4.71159521545,4.51409244099189,4.68819138278649,4.6875604031807,4.72837664647515,1.39471210727377,20.9234623317205,4.69299429129124,1.40609698841607,1.42069578783722
"01/06/2016",4.49227052100671,4.55746832939707,5.48487161949827,2.92569063802052,4.5843073628829,4.84864319207502,4.65412654587006,4.72265241018302,4.48232164205521,4.70837625559282,4.66518606726548,4.75157016170283,1.36872567152577,20.9345584391443,4.70409985842788,1.41098697371026,1.43746264769429
"01/07/2016",4.49487433914958,4.55486482448673,5.4832521724968,2.9215419903205,4.58622709318628,4.6530926652564,4.6411486786279,4.70221638258835,4.49526674619227,4.66785979894785,4.68286093397156,4.77610067015871,1.38806458834271,20.9474486352563,4.68022606716264,1.51732262352629,1.53901544813755
"01/08/2016",4.49768890632139,4.55204996062006,5.48417018110581,2.91647259256836,4.5854621522178,4.49990505255901,4.66654413545901,4.71588271911558,4.49486482079958,4.7259256981224,4.66345612132559,4.77536108293817,1.38725220224358,20.9413037092356,4.69304251983132,1.52388002407245,1.54543258245819
"01/09/2016",4.50377672282859,4.54596249734755,5.4865712919951,2.95170723810401,4.58413866591239,4.34605032510682,4.63652222989571,4.69591179301081,4.45482391869749,4.68617578408766,4.66133804600266,4.75268610323171,1.42030729209267,20.9474152022601,4.66645942642605,1.52822785700856,1.55180879959746
