Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/12/2016,151.4726987,102.6275504,117.4936968,85.3063,106.3965,110.9571,103.3848,3.3710286
1/1/2017,132.7948335,103.9239663,110.101514,90.897,110.3314,102.9482,102.6841,3.5924882
1/2/2017,98.86700198,100.3896274,108.5916053,79.5065,108.0751,104.0628,99.7273,3.3712941
1/3/2017,84.6925707,108.0128555,115.4829665,87.2493,117.1131,108.7718,106.3032,3.1887216
1/4/2017,104.4493603,99.25206115,110.5180383,82.5834,106.7632,98.0925,104.4839,3.46470519
1/5/2017,115.2586884,106.1554738,116.3944851,86.0242,113.8144,107.6476,113.0389,3.56226757
1/6/2017,133.1451473,105.0242387,116.5364423,83.6043,113.2791,105.6962,115.7758,3.2667071
1/7/2017,108.3899391,103.2044873,112.3285873,83.3297,109.7489,105.7347,115.495,3.41034128
1/8/2017,87.84016165,106.6664422,116.0099343,82.8185,117.0333,105.3874,116.2734,3.52564758
1/9/2017,79.13211212,101.676602,110.7206029,73.9905,110.5653,106.1323,116.5846,3.59753175
1/10/2017,97.49940775,105.727881,117.1615079,80.6999,115.5588,107.6203,110.8379,3.50177064
1/11/2017,150.6881067,104.9573941,120.0463483,77.9642,115.1039,107.7438,111.5893,3.41921411
1/12/2017,153.6599609,102.1930263,119.6029217,79.6017,106.1244,115.2236,102.8253,3.12786122
1/1/2018,131.6326809,104.7963801,113.137636,87.3375,111.327,107.7211,103.8557,3.38919158
1/2/2018,106.4792298,101.0132781,111.573873,75.166,108.6371,108.9559,103.2872,3.20505718
1/3/2018,89.48336347,103.8469463,116.2111841,80.6008,113.9973,104.5498,103.0623,2.93962909
1/4/2018,108.1398296,102.8911562,115.9186343,78.5164,112.2612,104.6083,110.65,3.398701
1/5/2018,124.3010949,106.3718793,119.823091,80.5033,116.8746,107.5945,111.6839,3.22184807
1/6/2018,127.0253933,105.3165299,118.7768269,78.065,115.6957,106.6278,118.0314,3.38527594
1/7/2018,112.0342418,104.5899605,117.3780697,77.3878,112.3348,110.6152,121.5024,3.47763888
1/8/2018,90.4247308,106.958028,118.952576,79.6868,119.5715,103.3999,120.3298,3.47
1/9/2018,79.86136467,103.5247932,113.1756515,76.0197,113.1637,105.6475,121.2294,3.6
1/10/2018,94.53331052,106.7697001,121.9835091,76.205,118.5097,109.1041,115.9263,3.24
1/11/2018,,,,71.693,116.759,104.2007,112.4275,3.26
1/12/2018,,,,,,,,
